PAC,"unrar","The RAR uncompression program"
PAC,"unrtf","Command-line program which converts RTF documents to other formats"
PAC,"unzip","For extracting and viewing files in .zip archives"
PAC,"usbutils","A collection of USB tools to query connected USB devices"
PAC,"vault","A tool for managing secrets"
PAC,"vim","Vi Improved, a highly configurable, improved version of the vi text editor"
PAC,"virt-install","Command line tool for creating new KVM , Xen, or Linux container guests using the libvirt hypervisor"
PAC,"virt-manager","Desktop user interface for managing virtual machines"
PAC,"vlc","Free and open source cross-platform multimedia player and framework"
PAC,"vlc-plugins-all","Free and open source cross-platform multimedia player and framework - all plugins"
PAC,"waybar","Highly customizable Wayland bar for Sway and Wlroots based compositors"
PAC,"wayvnc","VNC server for wlroots-based Wayland compositors"
PAC,"wev","A tool for debugging wayland events on a Wayland window, analagous to the X11 tool xev"
PAC,"wget","Network utility to retrieve files from the web"
PAC,"which","A utility to show the full path of commands"
PAC,"wikiman","Offline search engine for manual pages, Arch Wiki, Gentoo Wiki and other documentation"
PAC,"wireguard-tools","next generation secure network tunnel - tools for configuration"
PAC,"wiremix","A simple TUI audio mixer for PipeWire"
PAC,"wlr-randr","Utility to manage outputs of a Wayland compositor"
PAC,"wmenu","Efficient dynamic menu for Wayland and wlroots based Wayland compositors"
PAC,"wtype","xdotool type for wayland"
PAC,"xarchiver","GTK+ frontend to various command line archivers"
PAC,"xclip","Command line interface to the X11 clipboard"
PAC,"xdg-desktop-portal-wlr","xdg-desktop-portal backend for wlroots"
PAC,"xdotool","Command-line X11 automation tool"
PAC,"xf86-video-intel","X.org Intel i810/i830/i915/945G/G965+ video drivers"
PAC,"xorg-server","Xorg X server"
PAC,"xorg-xbacklight","RandR-based backlight control application"
PAC,"xorg-xdpyinfo","Display information utility for X"
PAC,"xorg-xev","Print contents of X events"
PAC,"xorg-xhost","Server access control program for X"
PAC,"xorg-xinit","X.Org initialisation program"
PAC,"xorg-xlsclients","List client applications running on a display"
PAC,"xorg-xprop","Property displayer for X"
PAC,"xorg-xwayland","run X clients under wayland"
PAC,"xorg-xwininfo","Command-line utility to print information about windows on an X server"
PAC,"xpra","multi-platform screen and application forwarding system screen for X11"
PAC,"yazi","Blazing fast terminal file manager written in Rust, based on async I/O"
PAC,"ydotool","Generic command-line automation tool (no X!)"
PAC,"zathura","Minimalistic document viewer"
PAC,"zathura-pdf-mupdf","PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
PAC,"zoxide","A smarter cd command for your terminal"
PAC,"zsh","A very advanced and programmable command interpreter (shell) for UNIX"
AUR,"acdcontrol-git","Apple Cinema Display Control Utility for Linux"
AUR,"alarm-clock-applet","A fully-featured alarm clock for use with an AppIndicator implementation."
AUR,"asdf-vm","Extendable version manager with support for Ruby, Node.js, Elixir, Erlang & more"
AUR,"backintime","Simple backup system inspired from the Flyback Project and TimeVault. Qt5 GUI version."
AUR,"balena-etcher","Flash OS images to SD cards & USB drives, safely and easily"
AUR,"bashmount","Tool to mount and unmount removable media from the command-line."
AUR,"battop","Interactive batteries viewer"
AUR,"birdtray","Run Thunderbird with a system tray icon."
AUR,"brother-dcp9055cdn","Brother CUPS and LPD driver for DCP-9055CDN"
AUR,"browsh","A fully-modern text-based browser, rendering to TTY and browsers"
AUR,"brscan-skey","Brother scan-key-tool"
AUR,"brscan4","SANE drivers from Brother for compatible models"
AUR,"calcure","Modern TUI calendar and task manager"
AUR,"cronic","Cronic is a shell script to help control the most annoying feature of cron: unwanted emailed output."
AUR,"eclipse-platform","A minimal installation suitable for complete per-user customization with the built-in Eclipse package manager"
AUR,"google-chrome","The popular web browser by Google (Stable Channel)"
AUR,"gromit-mpx","On-screen annotation tool"
AUR,"informant","An Arch Linux News reader and pacman hook"
AUR,"input-remapper-git","A tool to change and program the mapping of your input device buttons."
AUR,"jamesdsp","An audio effect processor for PipeWire clients"
AUR,"jmeter","Java application designed to load test functional behavior and measure performance"
AUR,"lf-git","lf is a terminal file manager written in Go"
AUR,"linphone-desktop","A free VoIP and video softphone based on the SIP protocol"
AUR,"mutt-wizard-git","Easily auto-configure neomutt and isync/mpop with safe passwords (IMAP/POP3/SMTP)"
AUR,"ngrok","A tunneling, reverse proxy for developing and understanding networked, HTTP services"
AUR,"openssl-1.0","The Open Source toolkit for Secure Sockets Layer and Transport Layer Security"
AUR,"passepartui","A TUI for pass"
AUR,"pharo-launcher","Pharo Launcher helps you manage your Pharo images"
AUR,"php56-cgi","CGI and FCGI SAPI for php56"
AUR,"php84-cgi","CGI and FCGI SAPI for php84"
AUR,"pkglog","Reports log of package updates"
AUR,"proton-pass-bin","Open-source password manager for effortless protection. Securely store, share and auto-login your accounts with Proton Pass, using end-to-end encryption trusted by millions."
AUR,"protonvpn-cli","Official Legacy ProtonVPN Command Line Interface, used to be maintained by the ProtonVPN team."
AUR,"pyradio","Internet radio player for the command line"
AUR,"qdirstat","Qt-based directory statistics (KDirStat/K4DirStat without any KDE - from the original KDirStat author)"
AUR,"qrcp-git","Transfer files over wifi from your computer to your mobile device by scanning a QR code without leaving the terminal."
AUR,"spotify","A proprietary music streaming service"
AUR,"swayr","Swayr is a window switcher (and more) for sway"
AUR,"swtchr","Gnome-style window switcher for the Sway window manager"
AUR,"tmuxinator","Manage complex tmux sessions easily"
AUR,"ttf-google-fonts-git","TrueType fonts from the Google Fonts project (git version)"
AUR,"vdhcoapp","Companion application for Video DownloadHelper browser add-on"
AUR,"walk","Terminal file manager"
AUR,"wayclip","Wayland clipboard utility"
AUR,"wdisplays","GUI display configurator for wlroots compositors"
AUR,"wlrctl","Utility for miscellaneous wlroots extensions"
AUR,"wlvncc-git","Wayland native VNC client"
AUR,"xdg-terminal-exec-git","Proposed standard to launching desktop apps with Terminal=true"
AUR,"xsane","A GTK-based X11 frontend for SANE and plugin for Gimp."
AUR,"yay-bin","Yet another yogurt. Pacman wrapper and AUR helper written in go. Pre-compiled."
AUR,"zipwalk","A cli tool to parse damaged zip files"
AUR,"zsh-fast-syntax-highlighting","Optimized and extended zsh-syntax-highlighting"
